,^GSPC
2022-02-21,100.34531191237997
2022-02-22,99.34687516631236
2022-02-23,100.1352755843068
2022-02-24,101.12199657815688
2022-02-25,99.20786773183546
2022-02-28,97.9635556016898
2022-03-01,98.12811608923045
2022-03-02,97.85741850068665
2022-03-03,97.88012292255472
2022-03-04,97.08754091284992
2022-03-07,97.98427777140552
2022-03-08,98.78887075713324
2022-03-09,98.89367283727954
2022-03-10,100.05476372061537
2022-03-11,100.56384171036947
2022-03-14,99.7432956606773
2022-03-15,100.15183154176019
2022-03-16,99.23576900255372
2022-03-17,100.15139858680726
2022-03-18,100.1414581414801
2022-03-21,99.99649588155604
2022-03-22,99.35763829655829
2022-03-23,100.62002184150765
2022-03-24,100.50484821810169
2022-03-25,100.11531674888971
2022-03-28,99.803310447628
2022-03-29,100.37613155119848
2022-03-30,100.78392675069875
2022-03-31,101.2412428828587
2022-04-01,101.71903180074027
2022-04-04,103.96256664459005
2022-04-05,103.58232923788553
2022-04-06,103.09432241475913
2022-04-07,102.29968497218651
2022-04-08,102.97295569939256
2022-04-11,104.18374412333023
2022-04-12,104.10673137125683
2022-04-13,103.27703846475617
2022-04-14,102.47001909429466
2022-04-15,103.18011878229716
2022-04-18,103.99145462958231
2022-04-19,104.59965689106328
2022-04-20,103.94741791909799
2022-04-21,104.23070791503588
2022-04-22,104.39415065545757
2022-04-25,104.66455602198383
2022-04-26,105.62285939839097
2022-04-27,105.90164382450038
2022-04-28,106.66572836829178
2022-04-29,106.7805401119638
2022-05-02,107.13255453963164
2022-05-03,107.85414202046861
2022-05-04,106.33646012847322
2022-05-05,106.03948313016191
2022-05-06,105.58409881967623
2022-05-09,104.95366867803284
2022-05-10,104.70716818574071
2022-05-11,106.32675985841253
2022-05-12,105.4522961577027
2022-05-13,106.52092716857192
2022-05-16,104.78522376791342
2022-05-17,104.47668297327408
2022-05-18,104.68872754111196
2022-05-19,105.34636873024421
2022-05-20,106.14073867628562
2022-05-23,107.0289554119612
2022-05-24,106.6990397203063
2022-05-25,106.24934472919523
2022-05-26,107.20773483479664
2022-05-27,107.04564754884305
2022-05-30,105.73103807458696
2022-05-31,104.58139008254412
2022-06-01,103.66567917899448
2022-06-02,104.22402878749774
2022-06-03,104.41433376903085
2022-06-06,105.17985780114564
2022-06-07,104.77333366417207
2022-06-08,104.98155695169771
2022-06-09,105.68263467499068
2022-06-10,105.39836516231516
2022-06-13,105.92326083762869
2022-06-14,105.26654087354572
2022-06-15,104.92702197381935
2022-06-16,104.56905857535273
2022-06-17,103.36736613659723
2022-06-20,103.91352149056495
2022-06-21,103.4682710395763
2022-06-22,103.52260005514266
2022-06-23,104.06309662363485
2022-06-24,104.57062968357182
2022-06-27,105.31086301225304
2022-06-28,105.24928945133212
2022-06-29,104.84664286318008
2022-06-30,104.80500792131376
2022-07-01,103.0926616950812
2022-07-04,101.65219028791847
2022-07-05,100.35662490663717
2022-07-06,99.40054760883872
2022-07-07,99.83864821915307
2022-07-08,98.97829409246997
2022-07-11,98.64415185560395
2022-07-12,99.9741079479314
2022-07-13,99.65842532243477
2022-07-14,100.43630524459162
2022-07-15,99.54278692860338
2022-07-18,99.37824192002661
2022-07-19,98.47798050234492
2022-07-20,98.18393862850597
2022-07-21,99.0520753627944
2022-07-22,97.39477080480037
2022-07-25,97.85793243047769
2022-07-26,98.13009652188322
2022-07-27,97.58781255637307
2022-07-28,96.22527294833847
2022-07-29,96.3332303879533
2022-08-01,95.86283845513393
2022-08-02,96.12459031647768
2022-08-03,96.1840638288897
2022-08-04,97.77622762723017
2022-08-05,97.58149938047536
2022-08-08,96.62649171690346
2022-08-09,96.8386025388386
2022-08-10,97.09070728421787
2022-08-11,98.45873672776916
2022-08-12,99.32414130900729
2022-08-15,99.7191133270046
2022-08-16,101.22951817578978
2022-08-17,100.07328477719986
2022-08-18,99.47488995263858
2022-08-19,98.59686742996557
2022-08-22,98.25256846893987
2022-08-23,96.9479785574354
2022-08-24,97.604738317705
2022-08-25,97.42704228147134
2022-08-26,96.04297529889261
2022-08-29,95.11055576315319
2022-08-30,95.4473797571131
2022-08-31,96.28921935615045
2022-09-01,98.27047961239576
2022-09-02,101.21655167494545
2022-09-05,101.67753581827942
2022-09-06,100.71663812085674
2022-09-07,98.63148665521013
2022-09-08,98.93545447719674
2022-09-09,98.17368948161783
2022-09-12,97.80587814568939
2022-09-13,97.24793136713043
2022-09-14,97.14996369462028
2022-09-15,98.23038670674177
2022-09-16,98.42413910701596
2022-09-19,98.30744302476985
2022-09-20,97.33349788545108
2022-09-21,95.75533789481968
2022-09-22,95.32892651011255
2022-09-23,95.31578865775813
2022-09-26,97.0547031256576
2022-09-27,97.2201033342159
2022-09-28,98.21951371461162
2022-09-29,97.76943020929689
2022-09-30,96.65640910430088
2022-10-03,95.76634786269055
2022-10-04,95.11237504105193
2022-10-05,97.19738278509391
2022-10-06,96.44085493661495
2022-10-07,97.29180973559465
2022-10-10,96.45586425504332
2022-10-11,97.39757067648675
2022-10-12,97.81234325991542
2022-10-13,97.69832350713465
2022-10-14,97.69757853472433
2022-10-17,97.0987883732851
2022-10-18,97.57190751032934
2022-10-19,97.16783920095057
2022-10-20,96.02261404155995
2022-10-21,94.84124143714706
2022-10-24,95.04307692037163
2022-10-25,96.59443613932315
2022-10-26,96.78781021229211
2022-10-27,96.71172781734445
2022-10-28,97.02735382341942
2022-10-31,98.34217258690003
2022-11-01,98.59758607980457
2022-11-02,98.23253823357204
2022-11-03,99.36504522814347
2022-11-04,99.83191866999579
2022-11-07,101.41748563561761
2022-11-08,101.64413727705508
2022-11-09,100.44729604801306
2022-11-10,99.12201643831257
2022-11-11,100.81234918017081
2022-11-14,102.60611353259903
2022-11-15,102.46305810832526
2022-11-16,102.11202058671864
2022-11-17,103.65674324737735
2022-11-18,102.5565586194674
2022-11-21,101.68371552994489
2022-11-22,102.38092700747934
2022-11-23,102.01852192872158
2022-11-24,102.05411029068749
2022-11-25,101.92820946268439
2022-11-28,102.31379191217893
2022-11-29,103.80553580707397
2022-11-30,103.94117871467347
2022-12-01,104.65450934992818
2022-12-02,102.5717769849033
2022-12-05,102.56283475493433
2022-12-06,101.74231874807391
2022-12-07,100.55000836885381
2022-12-08,99.71076806304947
2022-12-09,99.41792619067978
2022-12-12,100.37282133706972
2022-12-13,99.08990205438802
2022-12-14,99.15991545406328
2022-12-15,98.72045411845691
2022-12-16,98.43687002646101
2022-12-19,99.46869857854523
2022-12-20,100.04540789659337
2022-12-21,101.43296561087907
2022-12-22,101.31688557642222
2022-12-23,100.6544798269533
2022-12-26,100.46958771351659
2022-12-27,100.75381234872806
2022-12-28,100.97225472251259
2022-12-29,99.92320017363575
2022-12-30,100.05367484888342
2023-01-02,100.32240739746743
2023-01-03,102.92121721550147
2023-01-04,104.91308655269526
2023-01-05,104.06334775778502
2023-01-06,103.80623051372856
2023-01-09,102.3390758486056
2023-01-10,101.77703639567812
2023-01-11,102.13960490341324
2023-01-12,103.42007469679228
2023-01-13,102.709873428396
2023-01-16,102.0810174221015
2023-01-17,99.95238235786292
2023-01-18,99.82985001601409
2023-01-19,98.81437526807856
2023-01-20,98.3319203809336
2023-01-23,97.51245279078871
2023-01-24,97.45955439649802
2023-01-25,95.79976015028895
2023-01-26,94.44236260216981
2023-01-27,96.51343292856613
2023-01-30,95.31698049575174
2023-01-31,94.31498817239522
2023-02-01,96.10191603200377
2023-02-02,98.97427079207726
2023-02-03,97.86062368517186
2023-02-06,97.5399238437157
2023-02-07,97.91280375714878
2023-02-08,99.65999089227479
2023-02-09,98.72080659741684
2023-02-10,98.5183625096582
2023-02-13,99.32688980339131
2023-02-14,99.79958138074058
2023-02-15,99.46466226971434
2023-02-16,99.3713853393601
2023-02-17,98.05369534306409
2023-02-20,97.85957107908992
2023-02-21,97.63827983474947
2023-02-22,97.90438379637104
2023-02-23,97.4011536129624
2023-02-24,97.90067456689636
2023-02-27,98.93673426790654
2023-02-28,99.13027471830547
2023-03-01,99.51938560795088
2023-03-02,99.61213643199022
2023-03-03,99.65207335602643
2023-03-06,98.97519592094261
2023-03-07,99.3286664916821
2023-03-08,99.27178077290188
2023-03-09,101.4121627523032
2023-03-10,103.06157047488492
2023-03-13,103.5013904341694
2023-03-14,102.75571524633236
2023-03-15,101.65963889682006
2023-03-16,102.91895043360506
2023-03-17,103.23100889751005
2023-03-20,103.76935705802066
2023-03-21,102.01550952496208
2023-03-22,103.00723625935684
2023-03-23,103.51778607628306
2023-03-24,102.41560947270673
2023-03-27,101.97461290026565
2023-03-28,102.28479814826177
2023-03-29,102.37942136710312
2023-03-30,102.12157520971681
2023-03-31,102.05676056731853
2023-04-03,101.84065245306482
2023-04-04,102.036948307228
2023-04-05,103.59094325939566
2023-04-06,101.00634345140698
2023-04-07,100.80770776872751
2023-04-10,101.02620542968039
2023-04-11,101.3662182994638
2023-04-12,101.03032678521926
2023-04-13,99.31071982441182
2023-04-14,99.67685205005485
2023-04-17,101.45415038948727
2023-04-18,99.9498301980181
2023-04-19,100.8572995665481
2023-04-20,100.56672021687814
2023-04-21,100.54527730803164
2023-04-24,99.53199610990828
2023-04-25,99.23934907397218
2023-04-26,100.57815084321302
2023-04-27,101.20635972987976
2023-04-28,103.01604101501083
2023-05-01,104.27783558031929
2023-05-02,104.77861542658637
2023-05-03,106.66456939967254
2023-05-04,107.17671097225188
2023-05-05,108.11104122377225
2023-05-08,107.83401523051306
2023-05-09,107.94896909020333
2023-05-10,107.24161455669578
2023-05-11,108.35146058555661
2023-05-12,107.12508516406038
2023-05-15,108.00966083924794
2023-05-16,107.84706564942417
