,AAPL,MSFT,AMZN,GOOGL,META
2020-10-20,100.34531191237997,99.78912007676519,100.87094363494803,99.56519888968214,99.26001754051643
2020-10-21,99.34687516631236,97.3830406652595,99.5771919079046,98.29847008775093,100.49498559266259
2020-10-22,100.1352755843068,96.45609095157322,97.96916589703488,96.16247495488477,101.42805293323292
2020-10-23,101.12199657815688,97.69172995126067,98.81901094641245,95.96639913155197,102.0808564004928
2020-10-26,99.20786773183546,95.05322190240223,98.26424441895966,95.70154733446753,103.07136942080145
2020-10-27,97.9635556016898,94.76135999287267,97.9187410223377,95.11831194662018,101.09380700572439
2020-10-28,98.12811608923045,93.68721402048288,96.15580623349989,95.36725286930886,102.51275434717692
2020-10-29,97.85741850068665,94.48181918283693,95.5433493423966,95.78316986399454,102.95663134503779
2020-10-30,97.88012292255472,93.88365349452091,95.57434165902887,96.13157463463897,104.04418435635105
2020-11-02,97.08754091284992,94.30138032044373,96.50628829704615,95.86649758750947,104.48957193082
2020-11-03,97.98427777140552,94.87406980761799,95.80317901122523,94.85414112849486,104.58253042493182
2020-11-04,98.78887075713324,96.6709254446329,97.44319856923947,95.52602143860045,104.33672740831025
2020-11-05,98.89367283727954,96.51353622109691,96.81714237164624,95.57619891757085,104.76239447873988
2020-11-06,100.05476372061537,96.91591180454543,96.19651700088107,96.46761913327029,104.4780913313122
2020-11-09,100.56384171036947,95.52549346441336,97.72591031692713,97.27170589971274,105.43094175816563
2020-11-10,99.7432956606773,96.70811272644114,97.97196127030738,95.93688562148452,103.81304027014389
2020-11-11,100.15183154176019,96.01382641814061,97.47160267413396,94.6085934459172,103.29364279384721
2020-11-12,99.23576900255372,95.51513003704409,97.35944514359105,93.9340466429606,105.46973772029686
2020-11-13,100.15139858680726,95.53208758400304,98.72522492024761,92.98426176234923,104.85340805062265
2020-11-16,100.1414581414801,94.08826614660013,100.22348211268594,93.72666884551121,104.64528821433146
2020-11-17,99.99649588155604,94.34148734565255,99.44796890603862,94.09414889326253,103.76727116482192
2020-11-18,99.35763829655829,95.2967499062716,99.44554856080133,95.17218311481541,104.1580097905108
2020-11-19,100.62002184150765,95.61455376411293,99.57506800297857,95.58850508222375,103.4353129996781
2020-11-20,100.50484821810169,94.1449926479098,98.63729257023134,95.82648124118131,103.28480947488549
2020-11-23,100.11531674888971,94.06612344840114,98.6218224722374,97.02186512142259,104.20696588147098
2020-11-24,99.803310447628,94.80463163166532,98.6665308340003,97.51767465833075,103.52274468428526
2020-11-25,100.37613155119848,93.0780489564083,99.83790129947813,97.62314920338684,104.38410941125007
2020-11-26,100.78392675069875,92.11987491874784,101.0911044020596,99.1188048950242,105.28803114237326
2020-11-27,101.2412428828587,92.96807486381657,100.7991617934439,99.27273773811287,106.44722359904941
2020-11-30,101.71903180074027,93.25681206830161,100.62397090172767,99.010666116117,106.63957806268061
2020-12-01,103.96256664459005,93.67926031110952,101.3351592655209,98.22387875285337,110.1967395897103
2020-12-02,103.58232923788553,95.47570062795639,100.78419494411659,98.95642531232593,111.4095049925498
2020-12-03,103.09432241475913,95.96248167645392,101.41976047713963,100.228252531461,111.81675587958091
2020-12-04,102.29968497218651,96.63453469161637,101.37118546861595,100.21764152574058,110.8859481627874
2020-12-07,102.97295569939256,99.32960212041571,100.43340770949595,101.5776359713362,110.82269565742793
2020-12-08,104.18374412333023,99.1571126850691,99.5168056484313,99.63596982372776,112.4596912635063
2020-12-09,104.10673137125683,98.40845856287153,101.00773699840704,99.62057389349344,114.44452453596696
