,^GSPC
2022-10-19,100.34531191237997
2022-10-20,99.34687516631236
2022-10-21,100.1352755843068
2022-10-24,101.12199657815688
2022-10-25,99.20786773183546
2022-10-26,97.9635556016898
2022-10-27,98.12811608923045
2022-10-28,97.85741850068665
2022-10-31,97.88012292255472
2022-11-01,97.08754091284992
2022-11-02,97.98427777140552
2022-11-03,98.78887075713324
2022-11-04,98.89367283727954
2022-11-07,100.05476372061537
2022-11-08,100.56384171036947
2022-11-09,99.7432956606773
2022-11-10,100.15183154176019
2022-11-11,99.23576900255372
2022-11-14,100.15139858680726
2022-11-15,100.1414581414801
2022-11-16,99.99649588155604
2022-11-17,99.35763829655829
2022-11-18,100.62002184150765
2022-11-21,100.50484821810169
2022-11-22,100.11531674888971
2022-11-23,99.803310447628
2022-11-24,100.37613155119848
2022-11-25,100.78392675069875
2022-11-28,101.2412428828587
2022-11-29,101.71903180074027
2022-11-30,103.96256664459005
2022-12-01,103.58232923788553
2022-12-02,103.09432241475913
2022-12-05,102.29968497218651
2022-12-06,102.97295569939256
2022-12-07,104.18374412333023
2022-12-08,104.10673137125683
2022-12-09,103.27703846475617
2022-12-12,102.47001909429466
2022-12-13,103.18011878229716
2022-12-14,103.99145462958231
2022-12-15,104.59965689106328
2022-12-16,103.94741791909799
2022-12-19,104.23070791503588
2022-12-20,104.39415065545757
2022-12-21,104.66455602198383
2022-12-22,105.62285939839097
2022-12-23,105.90164382450038
2022-12-26,106.66572836829178
2022-12-27,106.7805401119638
2022-12-28,107.13255453963164
2022-12-29,107.85414202046861
2022-12-30,106.33646012847322
2023-01-02,106.03948313016191
2023-01-03,105.58409881967623
2023-01-04,104.95366867803284
2023-01-05,104.70716818574071
2023-01-06,106.32675985841253
2023-01-09,105.4522961577027
2023-01-10,106.52092716857192
2023-01-11,104.78522376791342
2023-01-12,104.47668297327408
2023-01-13,104.68872754111196
2023-01-16,105.34636873024421
2023-01-17,106.14073867628562
2023-01-18,107.0289554119612
2023-01-19,106.6990397203063
2023-01-20,106.24934472919523
2023-01-23,107.20773483479664
2023-01-24,107.04564754884305
2023-01-25,105.73103807458696
2023-01-26,104.58139008254412
2023-01-27,103.66567917899448
2023-01-30,104.22402878749774
2023-01-31,104.41433376903085
2023-02-01,105.17985780114564
2023-02-02,104.77333366417207
2023-02-03,104.98155695169771
2023-02-06,105.68263467499068
2023-02-07,105.39836516231516
2023-02-08,105.92326083762869
2023-02-09,105.26654087354572
2023-02-10,104.92702197381935
2023-02-13,104.56905857535273
2023-02-14,103.36736613659723
2023-02-15,103.91352149056495
2023-02-16,103.4682710395763
2023-02-17,103.52260005514266
2023-02-20,104.06309662363485
2023-02-21,104.57062968357182
2023-02-22,105.31086301225304
2023-02-23,105.24928945133212
2023-02-24,104.84664286318008
2023-02-27,104.80500792131376
2023-02-28,103.0926616950812
2023-03-01,101.65219028791847
2023-03-02,100.35662490663717
2023-03-03,99.40054760883872
2023-03-06,99.83864821915307
2023-03-07,98.97829409246997
2023-03-08,98.64415185560395
2023-03-09,99.9741079479314
2023-03-10,99.65842532243477
2023-03-13,100.43630524459162
2023-03-14,99.54278692860338
2023-03-15,99.37824192002661
2023-03-16,98.47798050234492
2023-03-17,98.18393862850597
2023-03-20,99.0520753627944
2023-03-21,97.39477080480037
2023-03-22,97.85793243047769
2023-03-23,98.13009652188322
2023-03-24,97.58781255637307
2023-03-27,96.22527294833847
2023-03-28,96.3332303879533
2023-03-29,95.86283845513393
2023-03-30,96.12459031647768
2023-03-31,96.1840638288897
2023-04-03,97.77622762723017
2023-04-04,97.58149938047536
2023-04-05,96.62649171690346
2023-04-06,96.8386025388386
2023-04-07,97.09070728421787
2023-04-10,98.45873672776916
2023-04-11,99.32414130900729
2023-04-12,99.7191133270046
2023-04-13,101.22951817578978
2023-04-14,100.07328477719986
2023-04-17,99.47488995263858
2023-04-18,98.59686742996557
2023-04-19,98.25256846893987
2023-04-20,96.9479785574354
2023-04-21,97.604738317705
2023-04-24,97.42704228147134
2023-04-25,96.04297529889261
2023-04-26,95.11055576315319
2023-04-27,95.4473797571131
2023-04-28,96.28921935615045
2023-05-01,98.27047961239576
2023-05-02,101.21655167494545
2023-05-03,101.67753581827942
2023-05-04,100.71663812085674
2023-05-05,98.63148665521013
2023-05-08,98.93545447719674
2023-05-09,98.17368948161783
2023-05-10,97.80587814568939
2023-05-11,97.24793136713043
2023-05-12,97.14996369462028
2023-05-15,98.23038670674177
2023-05-16,98.42413910701596
2023-05-17,98.30744302476985
2023-05-18,97.33349788545108
2023-05-19,95.75533789481968
2023-05-22,95.32892651011255
2023-05-23,95.31578865775813
2023-05-24,97.0547031256576
2023-05-25,97.2201033342159
2023-05-26,98.21951371461162
2023-05-29,97.76943020929689
2023-05-30,96.65640910430088
2023-05-31,95.76634786269055
2023-06-01,95.11237504105193
2023-06-02,97.19738278509391
2023-06-05,96.44085493661495
2023-06-06,97.29180973559465
2023-06-07,96.45586425504332
2023-06-08,97.39757067648675
2023-06-09,97.81234325991542
2023-06-12,97.69832350713465
2023-06-13,97.69757853472433
2023-06-14,97.0987883732851
2023-06-15,97.57190751032934
2023-06-16,97.16783920095057
2023-06-19,96.02261404155995
2023-06-20,94.84124143714706
2023-06-21,95.04307692037163
2023-06-22,96.59443613932315
2023-06-23,96.78781021229211
2023-06-26,96.71172781734445
2023-06-27,97.02735382341942
2023-06-28,98.34217258690003
2023-06-29,98.59758607980457
2023-06-30,98.23253823357204
2023-07-03,99.36504522814347
2023-07-04,99.83191866999579
2023-07-05,101.41748563561761
2023-07-06,101.64413727705508
2023-07-07,100.44729604801306
2023-07-10,99.12201643831257
2023-07-11,100.81234918017081
2023-07-12,102.60611353259903
2023-07-13,102.46305810832526
2023-07-14,102.11202058671864
2023-07-17,103.65674324737735
2023-07-18,102.5565586194674
2023-07-19,101.68371552994489
2023-07-20,102.38092700747934
2023-07-21,102.01852192872158
2023-07-24,102.05411029068749
2023-07-25,101.92820946268439
2023-07-26,102.31379191217893
2023-07-27,103.80553580707397
2023-07-28,103.94117871467347
2023-07-31,104.65450934992818
2023-08-01,102.5717769849033
2023-08-02,102.56283475493433
2023-08-03,101.74231874807391
2023-08-04,100.55000836885381
2023-08-07,99.71076806304947
2023-08-08,99.41792619067978
