,AAPL,MSFT,AMZN,GOOGL,META,NVDA,TSLA
2022-10-19,100.34531191237997,100.9385907220083,98.88281359931361,100.79258144389713,100.09187427757504,99.79609944167433,101.12540939554948
2022-10-20,99.34687516631236,100.99053238288013,99.08281777218806,101.49201874628717,99.50943680033456,99.52067828887154,101.17395042696992
2022-10-21,100.1352755843068,101.28260175115456,99.84841643716983,102.16571741724675,99.0264924574818,98.9141679134668,102.02009340555651
2022-10-24,101.12199657815688,101.36793016219437,98.31555132248596,102.16852777676397,97.95793201585164,99.17304324171252,101.56218449106305
2022-10-25,99.20786773183546,101.20292207498305,98.37960383000944,102.41152404543979,99.24542974693198,99.60555810250497,99.77776693572864
2022-10-26,97.9635556016898,100.15343486434594,98.20274287328094,101.24541287015639,100.3488607451659,99.96786655058504,100.08591550585547
2022-10-27,98.12811608923045,100.04227432879627,98.57811044142952,99.09539580707207,100.92998522949257,99.69221115875588,100.85483571362886
2022-10-28,97.85741850068665,99.33836564191839,98.60479050230893,99.28393658899894,102.98146498414107,98.63945491523202,101.47735662277
2022-10-31,97.88012292255472,98.14330455974162,97.22071955003489,99.64597894395257,102.82788421424156,99.33814773737582,101.94745696315107
2022-11-01,97.08754091284992,98.68578562739893,96.03953790499173,100.89862901821338,106.03552586285491,99.3903276329057,101.6333453019258
2022-11-02,97.98427777140552,99.11230159043497,96.10623513530292,102.53761408011879,105.8368643936927,100.31732146924116,100.85705532691544
2022-11-03,98.78887075713324,97.39613144351715,97.13890891918552,104.20182908332418,106.1497493616977,101.1534966683713,101.45562423880561
2022-11-04,98.89367283727954,97.31563308977101,95.04972075919626,103.20831761198244,105.77064757839574,99.7654081454267,101.92996679592126
2022-11-07,100.05476372061537,98.32876993013568,95.4170608048332,102.88653678889237,106.20766734634945,98.38410824004208,101.40039499037543
2022-11-08,100.56384171036947,99.41558543514756,96.59757302618847,103.42328595962884,107.14172092464882,97.68264251417234,102.57263978479088
2022-11-09,99.7432956606773,100.4808603338035,96.4884544506112,106.11773509781833,107.06255489102905,96.69495487296201,101.71172365604022
2022-11-10,100.15183154176019,100.5601842974404,97.05961556274639,107.74315262481193,109.02535689690349,97.46698895747397,101.1603963127651
2022-11-11,99.23576900255372,99.75387914762702,96.41817221829884,108.99959317240177,109.33012558264588,97.84913391362628,102.8705695369187
2022-11-14,100.15139858680726,98.71816335924363,96.34167913843727,108.6211641624541,109.6701071686441,98.9701889010927,103.80949193145806
2022-11-15,100.1414581414801,99.09856931847474,94.83057659357667,107.70912148088054,108.72120540441254,99.40312489572433,103.47989244301023
2022-11-16,99.99649588155604,99.51494210798491,92.67033977341211,108.60564140890791,109.22083564978296,99.65059789292955,103.81922079393877
2022-11-17,99.35763829655829,100.84464012077406,93.58556206018379,107.45979097789404,109.11818660006378,100.89368557427521,104.02164967824605
2022-11-18,100.62002184150765,102.00082611813639,92.70534878140856,107.24676312216148,108.49989207315099,101.40928122334807,101.24495816143747
2022-11-21,100.50484821810169,101.90679549481254,92.32093147700779,107.16659616966481,107.70375341241582,101.51896490724408,100.37148664025362
2022-11-22,100.11531674888971,100.68698711506723,91.08621447619247,108.93089802048533,110.6643855989869,103.07430725085479,100.36060031982028
2022-11-23,99.803310447628,100.40635490538105,89.84686964202308,108.58863425221463,110.4173520078724,103.23438304254056,100.04334963232444
2022-11-24,100.37613155119848,100.66496384060014,89.72670109143705,106.0143273502008,108.8637871161772,102.96185301238188,100.33098936801102
2022-11-25,100.78392675069875,100.50193495718088,89.11009465572627,106.59309077481703,108.14957543341546,102.14366757816467,101.51123044675087
2022-11-28,101.2412428828587,99.96279227881031,89.48332846885432,105.89292865745112,108.1370655877085,102.905447638231,101.22584193150341
2022-11-29,101.71903180074027,100.25599728488824,89.92515543070667,105.98046523041067,108.773334667099,104.22802925827743,100.20093614273277
2022-11-30,103.96256664459005,99.79192919661514,90.25023620970953,105.93097892828793,109.42224260608535,104.21699480255506,100.56718865298609
2022-12-01,103.58232923788553,99.20680884012411,90.50202466105122,105.68370305706623,110.20919465820636,105.63126211028988,100.27935232448841
2022-12-02,103.09432241475913,99.55608739678688,91.97804474107657,106.56489109994244,109.54459496156596,103.61211051449392,100.16303211329138
2022-12-05,102.29968497218651,99.19635324563674,91.03772369905695,104.98583716501273,109.96214065720594,103.5961001838098,99.91116512261686
2022-12-06,102.97295569939256,99.47857515149447,91.02412835207704,104.48623232796321,109.04662423698322,103.59600185861768,102.21718562147682
2022-12-07,104.18374412333023,99.79063448684087,92.09784240241596,105.24549763141813,108.41637150388428,102.886742232193,99.99225947966245
2022-12-08,104.10673137125683,98.69951633627765,93.30716632567513,104.64303024419624,107.46895514277324,105.4110430762233,99.64455847120689
2022-12-09,103.27703846475617,98.2649728783882,92.0267483662551,103.0141934223028,106.24185307722902,105.38343676446469,99.68074695107335
2022-12-12,102.47001909429466,99.7278927106588,91.7764495152923,103.74669802975953,107.42148652646237,104.99662109532564,98.9447015207145
2022-12-13,103.18011878229716,98.61512122389111,93.06860733396677,104.96041495952888,108.20703035356978,105.06590193267414,99.87899286388426
2022-12-14,103.99145462958231,96.58834334483568,93.58009732876765,104.95517209980565,109.31274494377092,103.0237612471498,100.73486424142044
2022-12-15,104.59965689106328,94.84458580502304,93.80051588262526,102.95838429646311,109.39947862436512,102.28478923687251,100.7270529398858
2022-12-16,103.94741791909799,94.91015550258545,93.63399470866932,103.72929449853994,110.29672137373862,103.33678110485276,100.49496984452837
2022-12-19,104.23070791503588,94.97748707348126,93.31263290704703,102.0625325120712,108.41444180826419,102.72997257189478,100.4226828564993
2022-12-20,104.39415065545757,94.90380283048651,93.61940592488224,102.41914746103696,109.39795340088749,101.92274951092328,100.35764343148168
