,NVDA
2020-10-12,100.34531191237997
2020-10-13,99.34687516631236
2020-10-14,100.1352755843068
2020-10-15,101.12199657815688
2020-10-16,99.20786773183546
2020-10-19,97.9635556016898
2020-10-20,98.12811608923045
2020-10-21,97.85741850068665
2020-10-22,97.88012292255472
2020-10-23,97.08754091284992
2020-10-26,97.98427777140552
2020-10-27,98.78887075713324
2020-10-28,98.89367283727954
2020-10-29,100.05476372061537
2020-10-30,100.56384171036947
2020-11-02,99.7432956606773
2020-11-03,100.15183154176019
2020-11-04,99.23576900255372
2020-11-05,100.15139858680726
2020-11-06,100.1414581414801
2020-11-09,99.99649588155604
2020-11-10,99.35763829655829
2020-11-11,100.62002184150765
2020-11-12,100.50484821810169
2020-11-13,100.11531674888971
2020-11-16,99.803310447628
2020-11-17,100.37613155119848
2020-11-18,100.78392675069875
2020-11-19,101.2412428828587
2020-11-20,101.71903180074027
2020-11-23,103.96256664459005
2020-11-24,103.58232923788553
2020-11-25,103.09432241475913
2020-11-26,102.29968497218651
2020-11-27,102.97295569939256
2020-11-30,104.18374412333023
2020-12-01,104.10673137125683
2020-12-02,103.27703846475617
2020-12-03,102.47001909429466
2020-12-04,103.18011878229716
2020-12-07,103.99145462958231
2020-12-08,104.59965689106328
2020-12-09,103.94741791909799
2020-12-10,104.23070791503588
2020-12-11,104.39415065545757
2020-12-14,104.66455602198383
2020-12-15,105.62285939839097
2020-12-16,105.90164382450038
2020-12-17,106.66572836829178
2020-12-18,106.7805401119638
2020-12-21,107.13255453963164
2020-12-22,107.85414202046861
2020-12-23,106.33646012847322
2020-12-24,106.03948313016191
2020-12-25,105.58409881967623
2020-12-28,104.95366867803284
2020-12-29,104.70716818574071
2020-12-30,106.32675985841253
2020-12-31,105.4522961577027
2021-01-01,106.52092716857192
2021-01-04,104.78522376791342
2021-01-05,104.47668297327408
2021-01-06,104.68872754111196
2021-01-07,105.34636873024421
2021-01-08,106.14073867628562
2021-01-11,107.0289554119612
2021-01-12,106.6990397203063
2021-01-13,106.24934472919523
2021-01-14,107.20773483479664
2021-01-15,107.04564754884305
2021-01-18,105.73103807458696
2021-01-19,104.58139008254412
2021-01-20,103.66567917899448
2021-01-21,104.22402878749774
2021-01-22,104.41433376903085
2021-01-25,105.17985780114564
2021-01-26,104.77333366417207
2021-01-27,104.98155695169771
2021-01-28,105.68263467499068
2021-01-29,105.39836516231516
2021-02-01,105.92326083762869
2021-02-02,105.26654087354572
2021-02-03,104.92702197381935
2021-02-04,104.56905857535273
2021-02-05,103.36736613659723
2021-02-08,103.91352149056495
2021-02-09,103.4682710395763
2021-02-10,103.52260005514266
2021-02-11,104.06309662363485
2021-02-12,104.57062968357182
2021-02-15,105.31086301225304
2021-02-16,105.24928945133212
2021-02-17,104.84664286318008
2021-02-18,104.80500792131376
2021-02-19,103.0926616950812
2021-02-22,101.65219028791847
2021-02-23,100.35662490663717
2021-02-24,99.40054760883872
2021-02-25,99.83864821915307
2021-02-26,98.97829409246997
2021-03-01,98.64415185560395
2021-03-02,99.9741079479314
2021-03-03,99.65842532243477
2021-03-04,100.43630524459162
2021-03-05,99.54278692860338
2021-03-08,99.37824192002661
2021-03-09,98.47798050234492
2021-03-10,98.18393862850597
2021-03-11,99.0520753627944
2021-03-12,97.39477080480037
2021-03-15,97.85793243047769
2021-03-16,98.13009652188322
2021-03-17,97.58781255637307
2021-03-18,96.22527294833847
2021-03-19,96.3332303879533
2021-03-22,95.86283845513393
2021-03-23,96.12459031647768
2021-03-24,96.1840638288897
2021-03-25,97.77622762723017
2021-03-26,97.58149938047536
2021-03-29,96.62649171690346
2021-03-30,96.8386025388386
2021-03-31,97.09070728421787
2021-04-01,98.45873672776916
2021-04-02,99.32414130900729
2021-04-05,99.7191133270046
2021-04-06,101.22951817578978
2021-04-07,100.07328477719986
2021-04-08,99.47488995263858
2021-04-09,98.59686742996557
2021-04-12,98.25256846893987
2021-04-13,96.9479785574354
2021-04-14,97.604738317705
2021-04-15,97.42704228147134
2021-04-16,96.04297529889261
2021-04-19,95.11055576315319
2021-04-20,95.4473797571131
2021-04-21,96.28921935615045
2021-04-22,98.27047961239576
2021-04-23,101.21655167494545
2021-04-26,101.67753581827942
2021-04-27,100.71663812085674
2021-04-28,98.63148665521013
2021-04-29,98.93545447719674
2021-04-30,98.17368948161783
2021-05-03,97.80587814568939
2021-05-04,97.24793136713043
2021-05-05,97.14996369462028
2021-05-06,98.23038670674177
2021-05-07,98.42413910701596
2021-05-10,98.30744302476985
2021-05-11,97.33349788545108
2021-05-12,95.75533789481968
2021-05-13,95.32892651011255
2021-05-14,95.31578865775813
2021-05-17,97.0547031256576
2021-05-18,97.2201033342159
2021-05-19,98.21951371461162
2021-05-20,97.76943020929689
2021-05-21,96.65640910430088
2021-05-24,95.76634786269055
2021-05-25,95.11237504105193
2021-05-26,97.19738278509391
2021-05-27,96.44085493661495
2021-05-28,97.29180973559465
2021-05-31,96.45586425504332
2021-06-01,97.39757067648675
2021-06-02,97.81234325991542
2021-06-03,97.69832350713465
2021-06-04,97.69757853472433
2021-06-07,97.0987883732851
2021-06-08,97.57190751032934
2021-06-09,97.16783920095057
2021-06-10,96.02261404155995
2021-06-11,94.84124143714706
2021-06-14,95.04307692037163
2021-06-15,96.59443613932315
2021-06-16,96.78781021229211
2021-06-17,96.71172781734445
2021-06-18,97.02735382341942
2021-06-21,98.34217258690003
2021-06-22,98.59758607980457
2021-06-23,98.23253823357204
2021-06-24,99.36504522814347
2021-06-25,99.83191866999579
