,AAPL,MSFT,AMZN,GOOGL,META
2022-02-21,100.34531191237997,99.06240368337988,101.09324804181958,99.05340239499779,102.04284651855681
2022-02-22,99.34687516631236,97.68294711176674,99.72999429582995,100.05690867581256,102.13116521820234
2022-02-23,100.1352755843068,97.66496412166252,99.1109037600113,100.00993300665093,102.23741409439302
2022-02-24,101.12199657815688,97.78612521691801,101.07561752444276,100.39050156607313,101.897078356241
2022-02-25,99.20786773183546,97.14917039690538,102.26244230876655,100.8939316429398,103.07154214572346
2022-02-28,97.9635556016898,97.99906668077976,102.40325637287475,101.94294437862975,102.7741777590589
2022-03-01,98.12811608923045,96.73121987954437,101.48522389153547,102.06812372010631,102.38300782296625
2022-03-02,97.85741850068665,96.37692115114872,100.98989753112009,103.55906123601444,103.43120319309395
2022-03-03,97.88012292255472,95.8532162975759,101.10435897128738,103.92154280248272,102.91708842173217
2022-03-04,97.08754091284992,95.84690239504862,101.18276872735991,104.61407063009108,102.91939890084845
2022-03-07,97.98427777140552,96.15301171200663,101.13130920236615,103.78748915759223,101.34525350886385
2022-03-08,98.78887075713324,95.22684288260551,101.14058082587465,106.09469296912692,102.10226842292604
2022-03-09,98.89367283727954,95.9574334794162,100.96437050522286,106.6369713165846,104.14494304318976
2022-03-10,100.05476372061537,96.05632282893616,99.55874778933001,107.44297575298984,104.940745857771
2022-03-11,100.56384171036947,94.29378238277351,99.08546817099733,105.77121268763321,106.52863874219649
2022-03-14,99.7432956606773,92.50191422481761,100.03589114963185,104.94657072071819,105.67336094727149
2022-03-15,100.15183154176019,92.52752295290396,98.71586667603466,106.2962712635491,105.96576591010611
2022-03-16,99.23576900255372,92.36022979502819,98.56834199979616,106.6443128820306,105.01303439961632
2022-03-17,100.15139858680726,92.30167340262234,97.80274026448154,104.66463864866249,104.81604110328962
2022-03-18,100.1414581414801,92.31276646289017,97.95087720650584,105.79933356259559,105.67083568996853
2022-03-21,99.99649588155604,92.55823788986066,97.60998252868154,105.26767503954049,105.82080503560192
2022-03-22,99.35763829655829,93.47691816863328,99.10240454297166,106.80658289170006,104.37818887656145
2022-03-23,100.62002184150765,92.48102536647058,99.64556465016821,106.75550345605174,103.05578502078814
2022-03-24,100.50484821810169,91.4400692097962,98.38629390071863,107.01706120483283,101.68286513503269
2022-03-25,100.11531674888971,90.4819639790246,99.08853910460319,108.32953354198209,102.2246998773972
2022-03-28,99.803310447628,90.78006422127136,98.36325074698166,107.40458675091848,104.39818348213534
2022-03-29,100.37613155119848,91.9540667812235,97.83645935094364,106.3860458480784,105.87263956103234
2022-03-30,100.78392675069875,91.59491745767,98.18323647266457,106.21968357791883,103.92578162396582
2022-03-31,101.2412428828587,89.36765228413583,97.74069656918626,107.14479715110265,105.45536317630055
2022-04-01,101.71903180074027,87.8928849686093,98.65674239241578,105.77057816035324,106.49007301732706
2022-04-04,103.96256664459005,87.1986186461013,97.93475347975456,104.0625380197568,104.89908263700059
2022-04-05,103.58232923788553,86.74833284351175,97.36940172206685,104.96524074210826,104.62334958169379
2022-04-06,103.09432241475913,86.42934976042733,96.7710908718135,104.3759694920517,105.81814189295736
2022-04-07,102.29968497218651,86.49729360607635,96.26375905540472,104.00897687740888,106.44477577111404
2022-04-08,102.97295569939256,86.26255946959425,97.36665780690578,102.13639312302033,105.10242625049793
2022-04-11,104.18374412333023,87.20738855445671,98.02002481734434,101.48584335123925,105.78860224166364
2022-04-12,104.10673137125683,86.65449458587385,99.75041660056584,101.5187632918995,103.59279472034673
2022-04-13,103.27703846475617,85.94484091791658,102.07906644699591,102.50867406191652,103.4035771376654
2022-04-14,102.47001909429466,86.39194663202562,101.07274488027483,101.76183360331056,104.62882887446901
2022-04-15,103.18011878229716,85.10944704213054,101.18441016170645,103.5038571884493,104.68994390043508
2022-04-18,103.99145462958231,85.47594211207408,100.04125911387622,102.8388622763458,104.2105832612007
2022-04-19,104.59965689106328,85.59787767974257,99.30606361252372,102.17963597131477,105.18357463926439
2022-04-20,103.94741791909799,85.50595857757493,98.7218014093806,103.80415271228071,106.25636072465329
2022-04-21,104.23070791503588,86.90962846943715,97.7227374221444,104.06550725640167,107.70059067395235
2022-04-22,104.39415065545757,86.405104255713,96.7388796401636,103.53402793879137,108.68985862640936
2022-04-25,104.66455602198383,88.239060942452,96.63804868534869,103.41489456473984,109.91553869439106
2022-04-26,105.62285939839097,88.07558958345729,95.50755537341162,104.86562152187567,110.76837688296315
2022-04-27,105.90164382450038,86.99279106173323,96.35378016850622,106.45706557086707,111.10732353439874
2022-04-28,106.66572836829178,87.08846574613702,95.51173241292179,105.63331789666131,111.25131073583935
2022-04-29,106.7805401119638,86.1906753883012,98.27255404679563,105.63074701360877,111.03207301773348
2022-05-02,107.13255453963164,85.57938623972447,97.86910646916849,105.76832215526133,109.73796885427616
2022-05-03,107.85414202046861,85.95421512246224,97.97879856017731,104.77222005792575,108.73810749948281
2022-05-04,106.33646012847322,86.46767053865257,96.75651829495077,104.7557877687874,108.47526372024893
2022-05-05,106.03948313016191,85.96574612811104,98.46081185028656,104.80327684918483,108.78099974111595
2022-05-06,105.58409881967623,86.85351531082868,99.60911003149035,106.04750285114058,110.40382836037598
2022-05-09,104.95366867803284,87.89984533255188,99.94527491030937,107.37865122129126,110.40184416982733
2022-05-10,104.70716818574071,89.20713834480216,98.6476844491034,107.06855070619056,111.55989271166253
2022-05-11,106.32675985841253,89.71654468827926,98.8952716996343,106.88246349535224,112.81561469303556
2022-05-12,105.4522961577027,90.9845292537406,97.8315496056919,107.63788552501639,112.59983942473824
2022-05-13,106.52092716857192,89.32500854607609,99.31242317802086,107.05265296619348,113.31677232837399
2022-05-16,104.78522376791342,89.07711311612599,100.15937006824845,107.72774866430088,113.0863754613564
2022-05-17,104.47668297327408,88.34347848827343,100.29511686234976,107.67615244394908,114.63730447315186
2022-05-18,104.68872754111196,88.48425620016562,97.92023824608232,106.68004787554773,115.41469707762559
2022-05-19,105.34636873024421,88.01525466783461,97.00078701654694,105.70643606661616,114.09447874804648
2022-05-20,106.14073867628562,87.90428653417834,97.70929604134969,107.29009862892438,114.32463908648667
2022-05-23,107.0289554119612,89.61030444508216,98.9411808041792,107.1652625912073,116.2709489494772
2022-05-24,106.6990397203063,89.49413750263469,100.08474112533786,108.98123310641161,116.10685418903807
2022-05-25,106.24934472919523,89.90117788343888,98.54340473929291,108.46627893655183,116.67450790893199
2022-05-26,107.20773483479664,89.72849155574913,98.88055746007672,108.82612047185813,117.36008552583412
2022-05-27,107.04564754884305,89.83237943801275,99.92978442405298,111.50597207808906,116.19625716215248
