,AAPL,MSFT,AMZN,GOOGL,META,NVDA,TSLA
2020-05-20,100.34531191237997,101.30943632874876,101.89997476396829,100.68310774391666,100.82047606573978,100.47981561357882,98.76035685804925
2020-05-21,99.34687516631236,102.74586751453792,103.92158797016779,100.75475400426053,101.46891648173377,101.4652417554994,98.82924119478439
2020-05-22,100.1352755843068,101.91478731743469,102.24716710971005,99.94341102944601,100.95460080152709,99.33276986890779,98.64525876570329
2020-05-25,101.12199657815688,104.25395334941577,104.87114007120238,98.94045649623315,100.82090236907852,99.28751157726172,98.77939197394622
2020-05-26,99.20786773183546,105.33910151167885,103.95728585638486,98.23846675306362,98.91369350727808,99.73586235150609,99.01105605963554
2020-05-27,97.9635556016898,106.40962939811887,105.0237835806262,98.49631925863814,98.62502824889951,99.99912780275855,100.18627879796531
2020-05-28,98.12811608923045,106.4820361787876,106.09042692156136,98.50916811762241,98.67177276708557,101.00530458592476,100.31137256099456
2020-05-29,97.85741850068665,106.29348928343518,105.08136053447193,98.7610265798627,98.8779628534556,100.67665983495037,101.641474920327
2020-06-01,97.88012292255472,106.11357117163152,105.64322237014527,99.29658606511748,99.29300846919564,100.76608742087096,101.56257520239016
2020-06-02,97.08754091284992,106.57140741774175,105.57190163200849,98.71510568590243,99.57564213851786,102.00421463258603,101.24808024243377
2020-06-03,97.98427777140552,108.11842081054041,106.20121536761886,100.21266550172658,99.35250085665854,99.74602868776937,100.61304441451323
2020-06-04,98.78887075713324,108.35796722528366,106.48906202726236,99.98473002767416,99.67711283585265,100.37576035082665,98.8408563531082
2020-06-05,98.89367283727954,107.41779113189355,107.81380060757435,99.59213591107856,100.72121071096487,100.08120426200698,99.15347073413574
2020-06-08,100.05476372061537,108.35036448941173,107.9382890566595,100.11375276368,100.6653278879855,99.2119745141909,101.25163582178985
2020-06-09,100.56384171036947,109.3967956610743,107.80035218551474,98.33125826967868,101.02594634966779,99.58625569887553,101.75736621071356
2020-06-10,99.7432956606773,110.15937652974601,109.03201643133715,97.59601089531886,100.87838352367098,100.85649582104195,102.4995789161809
2020-06-11,100.15183154176019,111.02808460738271,109.71054928054681,98.59764220519818,100.2681481378308,101.95077628487996,102.11793564584433
2020-06-12,99.23576900255372,110.771985344079,110.560586124294,96.93814835594907,100.83412855609444,101.85385391173266,101.90948764180459
2020-06-15,100.15139858680726,109.79159861672503,109.87219148707258,98.06679923092013,100.31594102979004,102.79085507900847,102.95906253985491
2020-06-16,100.1414581414801,108.8860667631438,108.77322026799368,99.5998080060698,100.74434647362669,103.72851669539614,105.09013332577595
2020-06-17,99.99649588155604,107.16261466626705,108.20071185419766,99.27221106125583,100.81313337429438,103.6793908158691,106.70818586944841
2020-06-18,99.35763829655829,107.45981139082319,107.57408054624729,99.60215602910421,100.54740338788275,103.00448710925554,107.61395366418989
2020-06-19,100.62002184150765,107.41313155196161,108.46653847679677,100.763348370781,100.25810025539539,102.3931904760645,107.69485656956708
2020-06-22,100.50484821810169,106.98435034043916,109.57415830042218,100.33421768748421,99.78986784366843,103.29600944314552,107.9641270658644
2020-06-23,100.11531674888971,103.9101285530129,109.44807784704034,101.24917374479894,98.20023827960331,103.29379189405354,107.19653677978214
2020-06-24,99.803310447628,102.66314608361363,111.06986881490306,100.61215319303254,98.61640161767431,102.25967937853244,105.69760844478506
2020-06-25,100.37613155119848,103.86184565242647,112.64532277164265,100.17283403969736,98.88455524202253,100.59140593512745,104.55510815454048
2020-06-26,100.78392675069875,103.2151194729773,112.96501117852924,99.41506582967449,99.76822676698094,101.47222751075162,104.64904084724063
2020-06-29,101.2412428828587,103.62941992419779,112.08519115393662,99.79620353598068,99.27911180930067,100.95928898581035,104.38566534496019
2020-06-30,101.71903180074027,102.23912285460923,113.91049221120959,100.99892087698265,101.21925755449533,101.33392320175192,102.90414705741384
2020-07-01,103.96256664459005,103.76217131794118,113.88655375890578,100.85347320032871,100.87596282842568,102.6390333979351,102.9069014482348
2020-07-02,103.58232923788553,103.65428608406859,114.0759508871443,99.61932894524762,100.03704575045033,101.34485005038525,102.62077594356542
2020-07-03,103.09432241475913,103.99695225818684,113.73468508530024,98.58598812600296,99.08754236273481,101.33964371354381,101.46479776344064
2020-07-06,102.29968497218651,106.4866251078402,112.77227376460483,99.01537463976094,97.42321230999842,101.20728524263798,101.13033476522138
2020-07-07,102.97295569939256,108.15699104496215,111.17261845590494,100.89862517046426,98.96742747403579,101.63298841641452,100.84660481560188
2020-07-08,104.18374412333023,107.86906561541598,111.92318612416896,101.33719814458115,100.37382383513753,102.94138736691436,100.2667592470383
2020-07-09,104.10673137125683,107.27395981169397,111.09423301966208,100.98627192707521,101.01902910952631,101.62252907424285,101.24070794539308
2020-07-10,103.27703846475617,106.96808128905766,114.5915537519378,101.80369761021184,100.15790774859855,102.24411445325102,99.37215193353282
2020-07-13,102.47001909429466,107.55791715672068,113.39908968001293,101.60080307570946,102.02936814756438,103.34557511580024,97.45725999476437
2020-07-14,103.18011878229716,107.48778631004197,112.0269580266149,101.25768326718902,101.71181824574754,103.19441155859546,97.49945426565746
2020-07-15,103.99145462958231,107.10661967950563,112.64496007023064,100.33193069219395,101.47913845866863,103.09390068806196,97.63226790965317
2020-07-16,104.59965689106328,108.73313706230583,114.42665624573354,101.79576322276844,102.98937584097591,103.5676190750052,98.0669299238205
