,SPY
2022-01-03,100.34531191237997
2022-01-04,99.34687516631236
2022-01-05,100.1352755843068
2022-01-06,101.12199657815688
2022-01-07,99.20786773183546
2022-01-10,97.9635556016898
2022-01-11,98.12811608923045
2022-01-12,97.85741850068665
2022-01-13,97.88012292255472
2022-01-14,97.08754091284992
2022-01-17,97.98427777140552
2022-01-18,98.78887075713324
2022-01-19,98.89367283727954
2022-01-20,100.05476372061537
2022-01-21,100.56384171036947
2022-01-24,99.7432956606773
2022-01-25,100.15183154176019
2022-01-26,99.23576900255372
2022-01-27,100.15139858680726
2022-01-28,100.1414581414801
2022-01-31,99.99649588155604
2022-02-01,99.35763829655829
2022-02-02,100.62002184150765
2022-02-03,100.50484821810169
2022-02-04,100.11531674888971
2022-02-07,99.803310447628
2022-02-08,100.37613155119848
2022-02-09,100.78392675069875
2022-02-10,101.2412428828587
2022-02-11,101.71903180074027
2022-02-14,103.96256664459005
2022-02-15,103.58232923788553
2022-02-16,103.09432241475913
2022-02-17,102.29968497218651
2022-02-18,102.97295569939256
2022-02-21,104.18374412333023
2022-02-22,104.10673137125683
2022-02-23,103.27703846475617
2022-02-24,102.47001909429466
2022-02-25,103.18011878229716
2022-02-28,103.99145462958231
2022-03-01,104.59965689106328
2022-03-02,103.94741791909799
2022-03-03,104.23070791503588
2022-03-04,104.39415065545757
2022-03-07,104.66455602198383
2022-03-08,105.62285939839097
2022-03-09,105.90164382450038
2022-03-10,106.66572836829178
2022-03-11,106.7805401119638
2022-03-14,107.13255453963164
2022-03-15,107.85414202046861
2022-03-16,106.33646012847322
2022-03-17,106.03948313016191
2022-03-18,105.58409881967623
2022-03-21,104.95366867803284
2022-03-22,104.70716818574071
2022-03-23,106.32675985841253
2022-03-24,105.4522961577027
2022-03-25,106.52092716857192
2022-03-28,104.78522376791342
2022-03-29,104.47668297327408
2022-03-30,104.68872754111196
2022-03-31,105.34636873024421
2022-04-01,106.14073867628562
2022-04-04,107.0289554119612
2022-04-05,106.6990397203063
2022-04-06,106.24934472919523
2022-04-07,107.20773483479664
2022-04-08,107.04564754884305
2022-04-11,105.73103807458696
2022-04-12,104.58139008254412
2022-04-13,103.66567917899448
2022-04-14,104.22402878749774
2022-04-15,104.41433376903085
2022-04-18,105.17985780114564
2022-04-19,104.77333366417207
2022-04-20,104.98155695169771
2022-04-21,105.68263467499068
2022-04-22,105.39836516231516
2022-04-25,105.92326083762869
2022-04-26,105.26654087354572
2022-04-27,104.92702197381935
2022-04-28,104.56905857535273
2022-04-29,103.36736613659723
2022-05-02,103.91352149056495
2022-05-03,103.4682710395763
2022-05-04,103.52260005514266
2022-05-05,104.06309662363485
2022-05-06,104.57062968357182
2022-05-09,105.31086301225304
2022-05-10,105.24928945133212
2022-05-11,104.84664286318008
2022-05-12,104.80500792131376
2022-05-13,103.0926616950812
2022-05-16,101.65219028791847
2022-05-17,100.35662490663717
2022-05-18,99.40054760883872
2022-05-19,99.83864821915307
2022-05-20,98.97829409246997
2022-05-23,98.64415185560395
2022-05-24,99.9741079479314
2022-05-25,99.65842532243477
2022-05-26,100.43630524459162
2022-05-27,99.54278692860338
2022-05-30,99.37824192002661
2022-05-31,98.47798050234492
2022-06-01,98.18393862850597
2022-06-02,99.0520753627944
2022-06-03,97.39477080480037
2022-06-06,97.85793243047769
2022-06-07,98.13009652188322
2022-06-08,97.58781255637307
2022-06-09,96.22527294833847
2022-06-10,96.3332303879533
2022-06-13,95.86283845513393
2022-06-14,96.12459031647768
2022-06-15,96.1840638288897
2022-06-16,97.77622762723017
2022-06-17,97.58149938047536
2022-06-20,96.62649171690346
2022-06-21,96.8386025388386
2022-06-22,97.09070728421787
2022-06-23,98.45873672776916
2022-06-24,99.32414130900729
2022-06-27,99.7191133270046
2022-06-28,101.22951817578978
2022-06-29,100.07328477719986
2022-06-30,99.47488995263858
2022-07-01,98.59686742996557
2022-07-04,98.25256846893987
2022-07-05,96.9479785574354
2022-07-06,97.604738317705
2022-07-07,97.42704228147134
2022-07-08,96.04297529889261
2022-07-11,95.11055576315319
2022-07-12,95.4473797571131
2022-07-13,96.28921935615045
2022-07-14,98.27047961239576
2022-07-15,101.21655167494545
2022-07-18,101.67753581827942
2022-07-19,100.71663812085674
2022-07-20,98.63148665521013
2022-07-21,98.93545447719674
2022-07-22,98.17368948161783
2022-07-25,97.80587814568939
2022-07-26,97.24793136713043
2022-07-27,97.14996369462028
2022-07-28,98.23038670674177
2022-07-29,98.42413910701596
2022-08-01,98.30744302476985
2022-08-02,97.33349788545108
2022-08-03,95.75533789481968
2022-08-04,95.32892651011255
2022-08-05,95.31578865775813
2022-08-08,97.0547031256576
2022-08-09,97.2201033342159
2022-08-10,98.21951371461162
2022-08-11,97.76943020929689
2022-08-12,96.65640910430088
2022-08-15,95.76634786269055
2022-08-16,95.11237504105193
2022-08-17,97.19738278509391
2022-08-18,96.44085493661495
2022-08-19,97.29180973559465
2022-08-22,96.45586425504332
2022-08-23,97.39757067648675
2022-08-24,97.81234325991542
2022-08-25,97.69832350713465
2022-08-26,97.69757853472433
2022-08-29,97.0987883732851
2022-08-30,97.57190751032934
2022-08-31,97.16783920095057
2022-09-01,96.02261404155995
2022-09-02,94.84124143714706
2022-09-05,95.04307692037163
2022-09-06,96.59443613932315
2022-09-07,96.78781021229211
2022-09-08,96.71172781734445
2022-09-09,97.02735382341942
2022-09-12,98.34217258690003
2022-09-13,98.59758607980457
2022-09-14,98.23253823357204
2022-09-15,99.36504522814347
2022-09-16,99.83191866999579
2022-09-19,101.41748563561761
2022-09-20,101.64413727705508
2022-09-21,100.44729604801306
2022-09-22,99.12201643831257
2022-09-23,100.81234918017081
2022-09-26,102.60611353259903
2022-09-27,102.46305810832526
2022-09-28,102.11202058671864
2022-09-29,103.65674324737735
2022-09-30,102.5565586194674
2022-10-03,101.68371552994489
2022-10-04,102.38092700747934
2022-10-05,102.01852192872158
2022-10-06,102.05411029068749
2022-10-07,101.92820946268439
2022-10-10,102.31379191217893
2022-10-11,103.80553580707397
2022-10-12,103.94117871467347
2022-10-13,104.65450934992818
2022-10-14,102.5717769849033
2022-10-17,102.56283475493433
2022-10-18,101.74231874807391
2022-10-19,100.55000836885381
2022-10-20,99.71076806304947
2022-10-21,99.41792619067978
2022-10-24,100.37282133706972
2022-10-25,99.08990205438802
2022-10-26,99.15991545406328
2022-10-27,98.72045411845691
2022-10-28,98.43687002646101
2022-10-31,99.46869857854523
2022-11-01,100.04540789659337
2022-11-02,101.43296561087907
2022-11-03,101.31688557642222
2022-11-04,100.6544798269533
2022-11-07,100.46958771351659
2022-11-08,100.75381234872806
2022-11-09,100.97225472251259
2022-11-10,99.92320017363575
2022-11-11,100.05367484888342
2022-11-14,100.32240739746743
2022-11-15,102.92121721550147
2022-11-16,104.91308655269526
2022-11-17,104.06334775778502
2022-11-18,103.80623051372856
2022-11-21,102.3390758486056
2022-11-22,101.77703639567812
2022-11-23,102.13960490341324
2022-11-24,103.42007469679228
2022-11-25,102.709873428396
2022-11-28,102.0810174221015
2022-11-29,99.95238235786292
2022-11-30,99.82985001601409
2022-12-01,98.81437526807856
